ZipCode,YearsENERGYSTARCertified,YearBuilt,TotalGHGEmissions,ThirdLargestPropertyUseTypeGFA,TaxParcelIdentificationNumber,SteamUse(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SecondLargestPropertyUseTypeGFA,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),OSEBuildingID,NumberofFloors,NumberofBuildings,NaturalGas(therms),NaturalGas(kBtu),DataYear,CouncilDistrictCode,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseTypeGFA
5,,9775,"","",23124550782,"","","","","","","",,170274,8531,161743,5,17,,"",,10080,5,,"",,"",
1,,1992,"","",7625703280,"","","",19.20000076,593798.625,20.20000076,563683.1875,,29357,0,29357,1,4,,"",,2016,1,,"",,"",
1,,1963,"","",5226300030,"","","",27.10000038,797507,28,770275.5,,28472,0,28472,1,4,,"",,2016,1,,"",,"",
1,,2015,"","",3303700030,"","","",30.10000038,857612.6875,31.5,820220.125,,36685,8254,28431,1,4,1,"",,2016,1,,"",,"",
1,,1969,"","",9272201340,"","","",34.5,1126781.75,37,1049638.75,,30420,0,30420,1,3,,"",,2016,1,,"",,"",
2,,3978,0,"",4586180105,0,0,0,"",0,0,0,686750,1447647,0,1447647,2,10,2,0,0,4032,2,0,0,,0,1119647
5,,9809,0,"",8324753991,0,0,0,0,0,0,0,11666,282059,0,282059,5,8,5,0,0,10080,5,0,0,100,0,273977
1,,1974,0,"",2025049091,0,0,0,31.70000076,919767.6875,33.20000076,880115.5,,37361,4735,32626,1,4,1,0,0,2016,1,0,0,61,0,27732
1,,2008,0,5500,7666201460,0,0,0,208.8000031,12843856,214.1000061,12525174,15000,57176,0,57176,1,1,1,0,0,2016,1,0,0,31,0,39500
1,,2015,0.09,1714,6003501185,0,1.100000024,1.100000024,0.400000006,13409,0.400000006,13409,8266,41384,15062,26322,1,7,1,0,0,2016,1,13409,3930,100,0,34643
1,,1910,0.12,"",7666207085,0,2.200000048,2.099999905,0.699999988,17260,0.699999988,16808.90039,0,27690,0,27690,1,3,1,0,0,2016,1,16809,4926.399902,,0,24717
1,,1903,0.17,"",1975700135,0,3,3,1,24105.5,1,24105.5,,57720,0,57720,1,3,1,0,0,2016,1,24105,7064.899902,,0,25000
1,,1900,0.31,"",1976200060,0,5.800000191,5.800000191,1.799999952,44293.5,1.799999952,44293.5,,49760,0,49760,1,3,1,0,0,2016,1,44294,12981.7002,,0.01,24019
1,,1915,0.4,"",2770603955,0,4.599999905,4.5,1.399999976,58114.19922,1.5,57133.19922,,39952,0,39952,1,3,1,0,0,2016,1,57133,16744.80078,,0.01,39952
1,,1906,0.5,"",0,0,5.800000191,5.800000191,1.799999952,72370.39844,1.799999952,72370.39844,,39212,0,39212,1,2,1,0,0,2016,1,72371,21210.59961,,0.01,39212
1,,1900,0.63,"",939000530,0,9.5,9.5,3,90558.70313,3,90558.70313,6000,33300,0,33300,1,5,1,0,0,2016,1,90559,26541.19922,,0.02,24000
1,,1980,0.68,"",2770603945,0,10,9.899999619,3.200000048,98862.89844,3.200000048,97690.39844,,30989,0,30989,1,3,1,0,0,2016,1,97690,28631.40039,,0.02,30989
1,,1971,0.7,"",2858600090,0,13.30000019,13.30000019,4.199999809,100841.7031,4.199999809,100841.7031,,23772,0,23772,1,1,1,0,0,2016,1,100842,29555,100,0.03,23772
1,,1954,0.73,"",5364200005,0,16.39999962,16.39999962,5.199999809,104722.2969,5.199999809,104722.2969,,20039,0,20039,1,2,1,0,0,2016,1,104722,30692.30078,100,0.04,20039
1,,1932,0.75,"",3573201061,0,15.10000038,14.80000019,4.699999809,109471.7969,4.800000191,106918,,24617,0,24617,1,1,1,0,0,2016,1,106918,31335.90039,,0.03,22752
1,,1962,0.79,"",3225049017,0,18,16.70000076,5.300000191,120610.5,5.699999809,111969.7031,3230,24248,0,24248,1,1,1,2.199999809,220,2016,1,111750,32752,,0.03,21018
1,,2013,'-0.8,"",7234600195,0,'-2.099999905,2,7.099999905,240132.0938,5,342726.0938,,52000,0,52000,1,6,1,0,0,2016,1,-115417,'-33826.80078,100,'-0.02,48159
1,,1957,0.81,"",2264501050,0,18.20000076,18.20000076,5.800000191,116486.6016,5.800000191,116486.6016,,20140,0,20140,1,2,1,0,0,2016,1,116487,34140.30078,49,0.04,20140
1,,1963,0.82,"",1624049229,0,20.10000038,18.39999962,5.900000095,128383.8984,6.400000095,117438.3984,,20047,0,20047,1,2,1,0,0,2016,1,117438,34419.19922,,0.04,20047
1,,1977,0.86,0,2926049287,0,12.60000038,12,3.799999952,129466.8984,4,123767.2031,984,33344,0,33344,1,2,2,0,0,2016,1,123767,36274.10156,,0.03,31360
1,,1920,0.87,"",6003000220,0,10.30000019,10.19999981,3.5,79967.89844,3.5,79711.79688,,23040,0,23040,1,2,1,68.6700058,6867,2016,1,72845,21349.59961,99,0.04,23040
1,,1972,0.89,"",7376600035,0,17.20000076,17.20000076,5.5,127374,5.5,127374,,23232,0,23232,1,1,1,0,0,2016,1,127374,37331.19922,,0.04,23232
1,,1969,1.06,"",5367204100,0,6.599999905,6.599999905,2.099999905,151754.2969,2.099999905,151754.2969,,71718,0,71718,1,1,1,0,0,2016,1,151754,44476.60156,100,0.01,71718
1,,1978,1.08,"",9270000000,0,23.79999924,22.10000038,7,167046.7969,7.599999905,154798.0938,10000,22000,0,22000,1,4,1,0,0,2016,1,154798,45368.69922,100,0.05,22000
1,,1960,1.12,"",1982201700,0,14.60000038,13.89999962,4.400000095,169464.0938,4.599999905,161311.0938,,36444,0,36444,1,1,1,0,0,2016,1,161311,47277.60156,80,0.03,36444
1,,1929,1.12,"",6840700175,0,21,21,6.699999809,161363.4063,6.699999809,161363.4063,,24152,0,24152,1,2,1,0,0,2016,1,161363,47292.89844,100,0.05,24152
1,,1944,1.14,"",7666203450,0,19.79999924,19.79999924,6.300000191,162960,6.300000191,162960,,25880,0,25880,1,1,1,0,0,2016,1,162960,47760.80078,100,0.04,25880
1,,1957,1.15,"",3505100761,0,27.20000076,25.60000038,8.199999809,175114.5,8.699999809,164817.9063,,20184,0,20184,1,3,1,0,0,2016,1,164818,48305.39844,100,0.06,20184
1,,1956,1.24,"",3958900650,0,24.79999924,24.79999924,7.900000095,177812.7969,7.900000095,177812.7969,,22509,0,22509,1,1,1,0,0,2016,1,177813,52113.89844,57,0.06,22509
1,,1975,1.34,"",2041200000,0,26.5,24.79999924,7.900000095,204302.5,8.399999619,191497.9063,,33948,0,33948,1,4,1,0,0,2016,1,191498,56124.80078,100,0.04,24242
1,,1984,1.39,"",6391900000,0,25.89999962,23.89999962,7.599999905,216815.7031,8.300000191,200056.5938,,26261,0,26261,1,4,1,0,0,2016,1,200056,58633.19922,100,0.05,26261
1,,1925,1.46,"",7666206065,0,26.10000038,25.5,8.100000381,214950.9063,8.300000191,209698.7031,,25821,0,25821,1,2,1,0,0,2016,1,209699,61459.19922,,0.06,25821
1,,1946,1.51,"",7974200700,0,29.29999924,27.89999962,8.899999619,227074.2969,9.300000191,216115,,24295,0,24295,1,1,1,0,0,2016,1,216115,63339.69922,53,0.06,24295
1,,1969,1.55,"",1722801081,0,32.70000076,32.70000076,10.39999962,222600.0938,10.39999962,222600.0938,,20500,0,20500,1,1,1,0,0,2016,1,222600,65240.30078,65,0.08,21386
1,,1965,1.55,"",2771605305,0,68.40000153,68.40000153,21.79999924,222255.9063,21.79999924,222255.9063,,23169,0,23169,1,1,1,0,0,2016,1,222256,65139.5,,0.07,10200
1,,1972,1.59,"",6300000010,0,28.60000038,28.60000038,9.100000381,227509.5,9.100000381,227509.5,,29400,0,29400,1,1,1,0,0,2016,1,227509,66679.20313,69,0.05,25000
1,,1952,1.6,"",7666207585,0,6.900000095,6.900000095,2.299999952,150167.7969,2.299999952,150167.7969,,16300,0,16300,1,1,1,119.8899918,11989,2016,1,138179,40497.89844,100,0.1,65164
1,,1916,1.6,9000,7666206275,0,28.89999962,26.70000076,8.5,248334.9063,9.199999809,229856.4063,9000,27000,0,27000,1,1,1,0,0,2016,1,229857,67367.10156,,0.06,9000
1,,1975,1.67,"",1327300065,0,15,15,4.800000191,238969.7031,4.800000191,238969.7031,,49950,0,49950,1,1,1,0,0,2016,1,238970,70038,77,0.03,49950
1,,1927,1.68,"",2767702360,0,17.39999962,15.89999962,5.099999905,262995.3125,5.5,241478.5938,5091,42500,0,42500,1,4,1,0,0,2016,1,241478,70773.29688,100,0.04,42500
1,,1955,1.7,"",1824049012,0,22.5,22.5,7.199999809,243518.2031,7.199999809,243518.2031,,26680,0,26680,1,1,1,0,0,2016,1,243518,71371.10156,92,0.06,33987
1,,1955,1.73,"",1327300012,0,23.89999962,23.89999962,7.599999905,248616,7.599999905,248616,,32400,0,32400,1,2,1,0,0,2016,1,248616,72865.20313,91,0.05,32700
1,,1989,1.78,"",704600000,0,32.70000076,30.39999962,9.699999809,275412,10.39999962,255971.2031,14280,31702,0,31702,1,4,1,0,0,2016,1,255971,75020.89844,,0.06,26418
1,,1962,1.85,"",2426039065,0,37.40000153,36.40000153,11.60000038,272664.4063,11.89999962,265774.9063,0,22047,0,22047,1,1,1,0,0,2016,1,265775,77894.20313,100,0.08,22898
